Time,Grams,Blood Accumulated,Water Accumulated,Delta,Delta of Delta
1.5572e+09,134,130.28,138.52,0,0
1.5572e+09,134.2,130.28,138.52,0,0
1.5572e+09,134.7,130.28,138.52,0,0
1.5572e+09,135,130.28,138.52,0,0
1.5572e+09,136.1,130.28,138.52,0,0
1.5572e+09,136.7,130.28,138.52,0,0
1.5572e+09,137.2,130.28,138.52,0,0
1.5572e+09,138.4,130.57,138.82,0.28302,0.28302
1.5572e+09,137.9,130.57,138.82,0,-0.28302
1.5572e+09,138.6,130.75,139.02,0.18868,0.18868
1.5572e+09,137.9,130.75,139.02,0,-0.18868
1.5572e+09,137.9,130.75,139.02,0,0
1.5572e+09,138.3,130.75,139.02,0,0
1.5572e+09,139.8,131.89,140.22,1.1321,1.1321
1.5572e+09,139.4,131.89,140.22,0,-1.1321
1.5572e+09,140,132.08,140.42,0.18868,0.18868
1.5572e+09,140.4,132.45,140.82,0.37736,0.18868
1.5572e+09,142,133.96,142.43,1.5094,1.1321
1.5572e+09,143.6,135.47,144.03,1.5094,0
1.5572e+09,143.8,135.66,144.23,0.18868,-1.3208
1.5572e+09,144.7,136.51,145.14,0.84906,0.66038
1.5572e+09,145.1,136.89,145.54,0.37736,-0.4717
1.5572e+09,145.6,137.36,146.04,0.4717,0.09434
1.5572e+09,145.7,137.45,146.14,0.09434,-0.37736
1.5572e+09,146.3,138.11,146.84,0.66038,0.56604
1.5572e+09,146.5,138.21,146.94,0.09434,-0.56604
1.5572e+09,147.1,138.77,147.54,0.56604,0.4717
1.5572e+09,147.1,138.77,147.54,0,-0.56604
1.5572e+09,146.4,138.77,147.54,0,0
1.5572e+09,147,138.77,147.54,0,0
1.5572e+09,148,139.62,148.45,0.84906,0.84906
1.5572e+09,148.4,140,148.85,0.37736,-0.4717
1.5572e+09,148.5,140.09,148.95,0.09434,-0.28302
1.5572e+09,148.5,140.28,149.15,0.18868,0.09434
1.5572e+09,147.8,140.28,149.15,0,-0.18868
1.5572e+09,147.2,140.28,149.15,0,0
1.5572e+09,147.8,140.28,149.15,0,0
1.5572e+09,147.4,140.28,149.15,0,0
1.5572e+09,147.3,140.28,149.15,0,0
1.5572e+09,147.5,140.28,149.15,0,0
1.5572e+09,147.5,140.28,149.15,0,0
1.5572e+09,147.4,140.28,149.15,0,0
1.5572e+09,147.8,140.28,149.15,0,0
1.5572e+09,148.6,140.28,149.15,0,0
1.5572e+09,148.9,140.47,149.35,0.18868,0.18868
1.5572e+09,149,140.57,149.45,0.09434,-0.09434
1.5572e+09,149.2,140.75,149.65,0.18868,0.09434
1.5572e+09,148.6,140.85,149.75,0.09434,-0.09434
1.5572e+09,151.9,143.3,152.36,2.4528,2.3585
1.5572e+09,151.6,143.3,152.36,0,-2.4528
1.5572e+09,151.4,143.3,152.36,0,0
1.5572e+09,148.7,143.3,152.36,0,0
1.5572e+09,148.4,143.3,152.36,0,0
1.5572e+09,148.5,143.3,152.36,0,0
1.5572e+09,148.4,143.3,152.36,0,0
1.5572e+09,148.8,143.3,152.36,0,0
1.5572e+09,148,143.3,152.36,0,0
1.5572e+09,148.1,143.3,152.36,0,0
1.5572e+09,148.8,143.3,152.36,0,0
1.5572e+09,149.5,143.3,152.36,0,0
1.5572e+09,149.8,143.3,152.36,0,0
1.5572e+09,149.9,143.3,152.36,0,0
1.5572e+09,150.3,143.3,152.36,0,0
1.5572e+09,150.4,143.3,152.36,0,0
1.5572e+09,150.3,143.3,152.36,0,0
1.5572e+09,153.9,145.19,154.36,1.8868,1.8868
1.5572e+09,154,145.28,154.46,0.09434,-1.7925
1.5572e+09,153.9,145.28,154.46,0,-0.09434
1.5572e+09,153.9,145.38,154.56,0.09434,0.09434
1.5572e+09,154.1,145.75,154.96,0.37736,0.28302
1.5572e+09,154.5,145.75,154.96,0,-0.37736
1.5572e+09,154.2,145.75,154.96,0,0
1.5572e+09,151.2,145.75,154.96,0,0
1.5572e+09,153.3,145.75,154.96,0,0
1.5572e+09,153.3,145.75,154.96,0,0
1.5572e+09,153.4,145.75,154.96,0,0
1.5572e+09,153.6,145.75,154.96,0,0
1.5572e+09,154.1,145.75,154.96,0,0
1.5572e+09,154.1,145.75,154.96,0,0
1.5572e+09,154.7,145.94,155.17,0.18868,0.18868
1.5572e+09,154.7,145.94,155.17,0,-0.18868
1.5572e+09,154.8,146.04,155.27,0.09434,0.09434
1.5572e+09,155,146.32,155.57,0.28302,0.18868
1.5572e+09,154.8,146.32,155.57,0,-0.28302
1.5572e+09,154.7,146.32,155.57,0,0
1.5572e+09,154.9,146.32,155.57,0,0
1.5572e+09,154.8,146.32,155.57,0,0
1.5572e+09,154.9,146.32,155.57,0,0
1.5572e+09,155.1,146.32,155.57,0,0
1.5572e+09,154.6,146.32,155.57,0,0
1.5572e+09,155.5,146.7,155.97,0.37736,0.37736
1.5572e+09,155.3,146.7,155.97,0,-0.37736
1.5572e+09,154.9,146.7,155.97,0,0
1.5572e+09,155.1,146.7,155.97,0,0
1.5572e+09,155.2,146.7,155.97,0,0
1.5572e+09,155.4,146.7,155.97,0,0
1.5572e+09,155.9,147.08,156.37,0.37736,0.37736
1.5572e+09,155.7,147.17,156.47,0.09434,-0.28302
1.5572e+09,156.2,147.36,156.67,0.18868,0.09434
1.5572e+09,156.2,147.36,156.67,0,-0.18868
1.5572e+09,156.1,147.36,156.67,0,0
1.5572e+09,156.7,147.83,157.17,0.4717,0.4717
1.5572e+09,156.9,148.02,157.37,0.18868,-0.28302
1.5572e+09,157.1,148.21,157.57,0.18868,-5.6843e-14
1.5572e+09,157.3,148.4,157.77,0.18868,5.6843e-14
1.5572e+09,157.3,148.49,157.87,0.09434,-0.09434
1.5572e+09,157.2,148.49,157.87,0,-0.09434
1.5572e+09,157.2,148.49,157.87,0,0
1.5572e+09,157.3,148.49,157.87,0,0
1.5572e+09,157.3,148.49,157.87,0,0
1.5572e+09,157.7,148.77,158.17,0.28302,0.28302
1.5572e+09,157.5,148.77,158.17,0,-0.28302
1.5572e+09,157.2,148.77,158.17,0,0
1.5572e+09,157.3,148.77,158.17,0,0
1.5572e+09,157.2,148.77,158.17,0,0
1.5572e+09,158.2,149.34,158.78,0.56604,0.56604
1.5572e+09,158.1,149.34,158.78,0,-0.56604
1.5572e+09,158.2,149.34,158.78,0,0
1.5572e+09,158.1,149.34,158.78,0,0
1.5572e+09,158.2,149.34,158.78,0,0
1.5572e+09,158.2,149.34,158.78,0,0
1.5572e+09,158,149.34,158.78,0,0
1.5572e+09,158.1,149.34,158.78,0,0
1.5572e+09,158.2,149.34,158.78,0,0
1.5572e+09,159.6,150.57,160.08,1.2264,1.2264
1.5572e+09,160.1,151.13,160.68,0.56604,-0.66038
1.5572e+09,160.1,151.51,161.08,0.37736,-0.18868
1.5572e+09,160.9,151.98,161.58,0.4717,0.09434
1.5572e+09,161.2,152.08,161.69,0.09434,-0.37736
1.5572e+09,161.8,152.64,162.29,0.56604,0.4717
1.5572e+09,162,152.83,162.49,0.18868,-0.37736
1.5572e+09,161.8,152.83,162.49,0,-0.18868
1.5572e+09,162.3,153.11,162.79,0.28302,0.28302
1.5572e+09,162,153.11,162.79,0,-0.28302
1.5572e+09,162.3,153.11,162.79,0,0
1.5572e+09,162,153.11,162.79,0,0
1.5572e+09,162.2,153.11,162.79,0,0
1.5572e+09,162.8,153.58,163.29,0.4717,0.4717
1.5572e+09,162.4,153.87,163.59,0.28302,-0.18868
1.5572e+09,162.1,153.87,163.59,0,-0.28302
1.5572e+09,168.2,158.68,168.71,4.8113,4.8113
1.5572e+09,174.7,164.81,175.23,6.1321,1.3208
1.5572e+09,180,169.81,180.54,5,-1.1321
1.5572e+09,181.4,171.13,181.95,1.3208,-3.6792
1.5572e+09,183.4,173.02,183.95,1.8868,0.56604
1.5572e+09,188.1,177.45,188.67,4.434,2.5472
1.5572e+09,190.2,179.43,190.77,1.9811,-2.4528
1.5572e+09,191.6,180.75,192.18,1.3208,-0.66038
1.5572e+09,193.6,182.64,194.18,1.8868,0.56604
1.5572e+09,198.2,186.98,198.8,4.3396,2.4528
1.5572e+09,207.5,195.75,208.12,8.7736,4.434
1.5572e+09,210.7,198.77,211.33,3.0189,-5.7547
1.5572e+09,212.2,200.19,212.84,1.4151,-1.6038
1.5572e+09,212.5,200.47,213.14,0.28302,-1.1321
1.5572e+09,212.7,200.66,213.34,0.18868,-0.09434
1.5572e+09,212.9,200.85,213.54,0.18868,2.8422e-14
1.5572e+09,213.2,201.23,213.94,0.37736,0.18868
1.5572e+09,214.1,201.98,214.74,0.75472,0.37736
1.5572e+09,215.2,203.02,215.85,1.0377,0.28302
1.5572e+09,214.9,203.02,215.85,0,-1.0377
1.5572e+09,215.7,203.49,216.35,0.4717,0.4717
1.5572e+09,215.7,203.49,216.35,0,-0.4717
1.5572e+09,215.7,203.49,216.35,0,0
1.5572e+09,215.5,203.58,216.45,0.09434,0.09434
1.5572e+09,215.5,203.58,216.45,0,-0.09434
1.5572e+09,217.3,205,217.95,1.4151,1.4151
1.5572e+09,218.5,206.13,219.16,1.1321,-0.28302
1.5572e+09,218.1,206.13,219.16,0,-1.1321
1.5572e+09,217.6,206.13,219.16,0,0
1.5572e+09,217.8,206.13,219.16,0,0
1.5572e+09,218,206.13,219.16,0,0
1.5572e+09,218.3,206.13,219.16,0,0
1.5572e+09,225.6,212.83,226.28,6.6981,6.6981
1.5572e+09,239.5,227.83,242.23,15,8.3019
1.5572e+09,243.2,229.43,243.93,1.6038,-13.396
