Blood Accumulated,Delta,Delta of Delta
187.38,1.3208,0.3774
187.85,0.4717,-0.8491
188.41,0.56604,0.09434
188.89,0.4717,-0.09434
189.17,0.28302,-0.18868
189.17,0,-0.28302
189.17,0,0
189.26,0.09434,0.09434
189.55,0.28302,0.18868
189.83,0.28302,0
189.92,0.09434,-0.18868
190.02,0.09434,0
190.11,0.09434,0
190.11,0,-0.09434
190.21,0.09434,0.09434
190.21,0,-0.09434
190.21,0,0
190.39,0.18868,0.18868
190.39,0,-0.18868
190.39,0,0
190.68,0.28302,0.28302
190.68,0,-0.28302
190.68,0,0
190.68,0,0
190.68,0,0
190.87,0.18868,0.18868
190.96,0.09434,-0.09434
190.96,0,-0.09434
190.98,0.017664,0.017664
191.9,0.92615,0.90848
193.12,1.2152,0.28908
195.2,2.0799,0.86466
195.87,0.67177,-1.4081
196.58,0.7062,0.034435
196.85,0.27002,-0.43618
197.25,0.40404,0.13402
197.62,0.37213,-0.03191
199.97,2.3474,1.9752
204.39,4.4148,2.0674
205.39,1.0038,-3.4109
206.15,0.75586,-0.24798
206.34,0.19916,-0.55671
206.64,0.29205,0.092886
206.69,0.052987,-0.23906
206.74,0.053994,0.0010072
206.9,0.15757,0.10358
206.98,0.082984,-0.074586
207.03,0.042266,-0.040718
207.03,0,-0.042266
207.16,0.13813,0.13813
207.18,0.015979,-0.12215
207.26,0.076754,0.060775
207.26,0,-0.076754
207.37,0.11148,0.11148
207.51,0.14027,0.028791
207.62,0.11272,-0.027554
207.71,0.087402,-0.025316
207.89,0.17649,0.089087
208.03,0.1394,-0.037086
208.12,0.097362,-0.04204
208.19,0.072016,-0.025346
208.21,0.016724,-0.055292
208.26,0.048134,0.03141
208.26,0,-0.048134
208.26,0,0
208.26,0,0
208.34,0.081805,0.081805
208.34,0,-0.081805
208.39,0.045493,0.045493
208.44,0.057485,0.011991
208.44,0,-0.057485
208.55,0.10292,0.10292
209.33,0.77836,0.67545
209.72,0.39458,-0.38378
210.24,0.52245,0.12787
211.53,1.2838,0.76138
214.14,2.6171,1.3333
216.67,2.5216,-0.09552
216.99,0.32721,-2.1944
217.41,0.4191,0.091892
217.49,0.075488,-0.34361
217.6,0.10838,0.032889
217.74,0.14153,0.033158
217.74,0,-0.14153
217.78,0.044195,0.044195
217.86,0.082988,0.038793
217.92,0.052451,-0.030537
217.92,0,-0.052451
217.92,0,0
219.8,1.8868,1.8868
219.8,0,-1.8868
220.18,0.37736,0.37736
220.18,0,-0.37736
220.18,0,0
220.18,0,0
220.18,0,0
220.18,0,0
220.18,0,0
220.65,0.4717,0.4717
220.75,0.09434,-0.37736
220.94,0.18868,0.09434
220.94,0,-0.18868
220.94,0,0
221.31,0.37736,0.37736
222.54,1.2264,0.84904
223.2,0.66038,-0.56602
223.29,0.09434,-0.56604
223.95,0.66038,0.56604
225.65,1.6981,1.0377
226.03,0.37736,-1.3207
226.5,0.4717,0.09434
227.35,0.84906,0.37736
227.54,0.18868,-0.66038
228.29,0.75472,0.56604
229.14,0.84906,0.09434
229.43,0.28302,-0.56604
229.9,0.4717,0.18868
230.65,0.75472,0.28302
232.35,1.6981,0.94338
232.35,0,-1.6981
232.35,0,0
234.9,2.5472,2.5472
236.12,1.2264,-1.3208
236.22,0.09434,-1.1321
236.97,0.75472,0.66038
237.16,0.18868,-0.56604
237.44,0.28302,0.09434
238.29,0.84906,0.56604
238.86,0.56604,-0.28302
239.43,0.56604,0
240.09,0.66038,0.09434
240.09,0,-0.66038
240.84,0.75472,0.75472
240.84,0,-0.75472
241.22,0.37736,0.37736
242.26,1.0377,0.66034
242.35,0.09434,-0.94336
243.2,0.84906,0.75472
243.29,0.09434,-0.75472
243.29,0,-0.09434
244.05,0.75472,0.75472
245.09,1.0377,0.28298
245.09,0,-1.0377
245.09,0,0
245.09,0,0
245.56,0.4717,0.4717
245.84,0.28302,-0.18868
246.5,0.66038,0.37736
246.5,0,-0.66038
247.54,1.0377,1.0377
248.67,1.1321,0.0944
249.33,0.66038,-0.47172
249.33,0,-0.66038
249.33,0,0
249.8,0.4717,0.4717
251.22,1.4151,0.9434
252.07,0.84906,-0.56604
253.39,1.3208,0.47174
255.75,2.3585,1.0377
255.75,0,-2.3585
255.75,0,0
255.75,0,0
255.75,0,0
255.75,0,0
255.75,0,0
255.75,0,0
255.75,0,0
